event_name,event_date,event_status
"Faculty Engineering Design Workshop",2023-05-02,Completed
"Media Production Conference",2023-02-12,Completed
"Student Engineering Design Learning Session",2024-08-29,Completed
"Interdepartmental Service Learning Mentoring Day",2026-07-21,Upcoming
"Disaster Preparedness and Robotics Fair",2023-06-19,Completed
"Science Education and Career Development Symposium",2023-04-20,Completed
"Future-Ready Disaster Preparedness Symposium",2026-02-05,Completed
"Industry-Academe Cybersecurity Bootcamp",2023-04-24,Completed
"Campus Debate Orientation",2024-03-01,Completed
"Health Awareness Assembly",2024-12-25,Completed
"Campus Hospitality Learning Session",2023-05-02,Completed
"Public Speaking Congress",2025-05-05,Completed
"Engineering Design and Volunteerism Assembly",2026-05-01,Upcoming
"Teacher Training Bootcamp",2024-03-11,Completed
"Teaching Excellence Dialogue",2023-09-01,Completed
"Creative Public Speaking Seminar",2024-09-20,Completed
"Teaching Excellence Congress",2024-08-17,Completed
"Academic Excellence and Teacher Training Congress",2024-07-20,Completed
"Creative Teaching Excellence Learning Session",2024-09-02,Completed
"Language and Literature and Data Analytics Seminar",2024-01-28,Completed
"Academic Excellence and Tourism Bootcamp",2024-08-06,Completed
"Alumni Engagement and Robotics Conference",2023-12-21,Completed
"Innovation Orientation",2024-04-19,Completed
"Career Development Congress",2026-05-21,Upcoming
"Applied Arts and Culture Symposium",2024-03-20,Completed
"Future-Ready Community Outreach Forum",2026-07-06,Upcoming
"Annual Entrepreneurship Fair",2025-05-31,Completed
"Digital Literacy Expo",2026-04-13,Completed
"Regional Cybersecurity Symposium",2023-04-10,Completed
"Community Language and Literature Mentoring Day",2023-02-21,Completed
"Student Wellness Symposium",2026-05-12,Upcoming
"Media Production Expo",2023-10-30,Completed
"Wellness and Volunteerism Conference",2025-06-14,Completed
"Business Management Orientation",2025-02-09,Completed
"Disaster Preparedness Forum",2024-05-12,Completed
"Research Showcase",2026-02-22,Completed
"Financial Literacy Workshop",2026-05-30,Upcoming
"Mental Health Series",2024-09-08,Completed
"Arts and Culture and Academic Excellence Camp",2025-08-14,Completed
"Athletics and Hospitality Bootcamp",2025-09-01,Completed
"Interdepartmental Career Development Summit",2023-10-31,Completed
"College Innovation Orientation",2026-01-10,Completed
"Science Education Showcase",2026-01-18,Completed
"Mental Health and Teaching Excellence Conference",2024-09-14,Completed
"Volunteerism Congress",2024-05-15,Completed
"Nursing Care and Health Awareness Showcase",2025-07-04,Completed
"Student Public Speaking Orientation",2024-11-05,Completed
"Psychology Seminar",2023-08-09,Completed
"Environmental Awareness Seminar",2026-01-17,Completed
"Tourism and Media Production Congress",2024-02-17,Completed
"Community Outreach Forum",2023-04-27,Completed
"Volunteerism Mentoring Day",2023-10-06,Completed
"Public Speaking and Community Outreach Symposium",2026-10-05,Upcoming
"College Engineering Design Orientation",2023-08-19,Completed
"Debate and Inclusive Education Workshop",2025-08-03,Completed
"Inclusive Education Bootcamp",2023-01-04,Completed
"Teacher Training Bootcamp",2025-07-30,Completed
"Student Government Showcase",2023-05-12,Completed
"Applied Digital Literacy Camp",2025-12-11,Completed
"Community Outreach Showcase",2024-03-29,Completed
"Disaster Preparedness Workshop",2023-09-30,Completed
"Community Teacher Training Conference",2023-12-27,Completed
"Entrepreneurship and Environmental Awareness Orientation",2023-07-25,Completed
"Faculty Disaster Preparedness Congress",2024-03-31,Completed
"Financial Literacy Camp",2023-06-14,Completed
"Inclusive Financial Literacy Orientation",2024-01-04,Completed
"Research and Mental Health Colloquium",2023-07-14,Completed
"Industry-Academe Business Management Symposium",2026-06-13,Upcoming
"Regional Public Speaking Series",2023-08-16,Completed
"Nursing Care and Entrepreneurship Workshop",2026-09-16,Upcoming
"Leadership and Teacher Training Dialogue",2024-06-12,Completed
"Leadership Bootcamp",2025-08-31,Completed
"Interdepartmental Teaching Excellence Congress",2023-10-04,Completed
"Nursing Care Bootcamp",2024-08-15,Completed
"Environmental Awareness Summit",2025-09-13,Completed
"Athletics Conference",2026-03-10,Completed
"Alumni Engagement Forum",2025-12-30,Completed
"Career Development and Arts and Culture Expo",2023-10-31,Completed
"Media Production Conference",2025-11-28,Completed
"Community Outreach and Entrepreneurship Fair",2025-05-01,Completed
"Interdepartmental Volunteerism Dialogue",2026-12-24,Upcoming
"Nursing Care Expo",2023-08-06,Completed
"Athletics Conference",2026-07-07,Upcoming
"Leadership Orientation",2023-07-14,Completed
"Faculty Nursing Care Orientation",2024-02-01,Completed
"Athletics and Teaching Excellence Series",2024-01-16,Completed
"Academic Excellence Summit",2026-08-07,Upcoming
"Volunteerism Fair",2025-05-04,Completed
"Nursing Care and Language and Literature Showcase",2023-02-16,Completed
"Academic Excellence Camp",2023-08-16,Completed
"Cybersecurity and Campus Journalism Symposium",2024-03-30,Completed
"Research and Public Speaking Symposium",2026-04-17,Completed
"Entrepreneurship Camp",2024-09-30,Completed
"Creative Teaching Excellence Assembly",2026-06-26,Upcoming
"Business Management and Wellness Workshop",2023-08-19,Completed
"Faculty Language and Literature Summit",2025-04-12,Completed
"University-Wide Arts and Culture Forum",2026-07-19,Upcoming
"Health Awareness Series",2023-09-21,Completed
"Language and Literature Fair",2023-10-05,Completed
"College Nursing Care Fair",2026-04-16,Completed
"Business Management and Digital Literacy Summit",2023-06-08,Completed
"Wellness and Media Production Bootcamp",2026-12-28,Upcoming
"Engineering Design Conference",2023-07-26,Completed
"Student Government and Research Symposium",2026-07-14,Upcoming
"Academic Excellence and STEM Mentoring Day",2025-05-11,Completed
"Language and Literature Showcase",2023-10-27,Completed
"Campus Journalism and Innovation Colloquium",2024-01-19,Completed
"Health Awareness and Academic Excellence Symposium",2025-09-05,Completed
"Health Awareness Assembly",2023-11-12,Completed
"Young Leaders Athletics Conference",2024-05-20,Completed
"Psychology and Financial Literacy Seminar",2025-08-21,Completed
"Science Education and Data Analytics Series",2025-05-19,Completed
"Science Education and Alumni Engagement Dialogue",2024-10-10,Completed
"Annual Sustainability Colloquium",2024-10-08,Completed
"Hospitality Fair",2026-11-23,Upcoming
"Inclusive Cybersecurity Summit",2024-04-03,Completed
"Research Colloquium",2023-04-10,Completed
"College Campus Journalism Camp",2023-10-08,Completed
"Health Awareness and Arts and Culture Congress",2025-06-29,Completed
"Career Development and Science Education Camp",2026-07-04,Upcoming
"Data Analytics and Community Outreach Dialogue",2026-03-27,Completed
"Health Awareness and Inclusive Education Conference",2024-12-04,Completed
"Science Education Orientation",2026-08-17,Upcoming
"Young Leaders Financial Literacy Colloquium",2025-01-03,Completed
"Inclusive Engineering Design Fair",2024-10-15,Completed
"Regional Volunteerism Series",2025-06-04,Completed
"Volunteerism Camp",2025-10-02,Completed
"Arts and Culture and Hospitality Congress",2026-11-19,Upcoming
"Psychology and Public Speaking Congress",2024-08-05,Completed
"University-Wide Cybersecurity Dialogue",2026-10-24,Upcoming
"Inclusive Mental Health Colloquium",2024-10-15,Completed
"Business Management Showcase",2024-11-11,Completed
"Engineering Design and Business Management Camp",2023-09-20,Completed
"Debate and Language and Literature Training",2023-08-21,Completed
"Digital Literacy and Robotics Training",2025-09-13,Completed
"Hospitality Colloquium",2024-05-18,Completed
"University-Wide Data Analytics Bootcamp",2023-01-02,Completed
"Psychology and Athletics Dialogue",2025-06-20,Completed
"Community Media Production Forum",2025-11-01,Completed
"Science Education and Teacher Training Summit",2026-04-21,Ongoing
"Campus Journalism and Volunteerism Forum",2026-04-19,Completed
"Financial Literacy and Volunteerism Orientation",2024-07-31,Completed
"Student Media Production Forum",2026-12-16,Upcoming
"STEM and Wellness Conference",2026-02-01,Completed
"Innovation Conference",2024-04-17,Completed
"Science Education Seminar",2026-02-27,Completed
"Hospitality Symposium",2024-01-16,Completed
"Research and Business Management Congress",2026-08-20,Upcoming
"Industry-Academe Sustainability Symposium",2024-04-07,Completed
"Inclusive Engineering Design Congress",2024-04-18,Completed
"Regional Research Forum",2024-10-16,Completed
"Annual Robotics Expo",2023-04-25,Completed
"Young Leaders Business Management Dialogue",2025-07-05,Completed
"Psychology and Student Government Orientation",2026-04-24,Upcoming
"Interdepartmental Academic Excellence Expo",2023-04-17,Completed
"Inclusive Environmental Awareness Symposium",2024-05-19,Completed
"Applied Arts and Culture Camp",2025-02-01,Completed
"Environmental Awareness Colloquium",2023-02-01,Completed
"Service Learning Fair",2026-01-31,Completed
"Community Outreach Symposium",2023-11-11,Completed
"University-Wide Community Outreach Expo",2025-02-03,Completed
"Career Development Training",2026-10-07,Upcoming
"Faculty Digital Literacy Series",2025-11-20,Completed
"Academic Excellence Congress",2026-11-13,Upcoming
"Applied Sustainability Congress",2026-06-04,Upcoming
"Faculty Athletics Congress",2023-03-10,Completed
"Campus STEM Orientation",2023-10-01,Completed
"Student Teaching Excellence Seminar",2025-10-13,Completed
"Career Development Dialogue",2024-02-27,Completed
"Robotics Camp",2026-02-24,Completed
"Athletics Colloquium",2023-06-25,Completed
"STEM Summit",2023-08-20,Completed
"Data Analytics and Robotics Training",2026-12-21,Upcoming
"Career Development Colloquium",2025-11-27,Completed
"Arts and Culture Seminar",2023-03-23,Completed
"Research and Academic Excellence Fair",2025-07-07,Completed
"Business Management and Disaster Preparedness Colloquium",2025-11-03,Completed
"Community Arts and Culture Fair",2023-06-12,Completed
"Hospitality and Public Speaking Orientation",2024-09-10,Completed
"Research Congress",2023-08-24,Completed
"Leadership Symposium",2025-05-05,Completed
"Young Leaders Arts and Culture Conference",2025-09-11,Completed
"Service Learning Camp",2026-08-23,Upcoming
"College STEM Colloquium",2026-05-15,Upcoming
"Alumni Engagement and Career Development Dialogue",2025-12-21,Completed
"Teacher Training Training",2023-02-07,Completed
"Career Development and Psychology Workshop",2026-08-03,Upcoming
"Annual Research Camp",2024-12-23,Completed
"Community Outreach and Research Assembly",2023-12-23,Completed
"Mental Health and Robotics Conference",2026-01-20,Completed
"Inclusive Community Outreach Expo",2023-02-13,Completed
"Future-Ready Sustainability Camp",2026-02-24,Completed
"Regional Teacher Training Camp",2024-12-26,Completed
"Campus Health Awareness Orientation",2025-02-24,Completed
"Student Innovation Congress",2024-11-03,Completed
"Future-Ready Science Education Expo",2024-12-27,Completed
"Community Outreach Congress",2024-05-15,Completed
"Psychology Training",2026-08-12,Upcoming
"Engineering Design Bootcamp",2026-08-15,Upcoming
"Teaching Excellence and Cybersecurity Bootcamp",2024-10-04,Completed
"Disaster Preparedness and STEM Summit",2025-12-18,Completed
"Leadership and Innovation Seminar",2025-09-15,Completed
"Hospitality Congress",2025-12-21,Completed
"Financial Literacy Summit",2026-09-20,Upcoming
"Teaching Excellence Summit",2025-05-30,Completed
"Faculty Engineering Design Learning Session",2024-03-19,Completed
"Inclusive Education and Data Analytics Colloquium",2023-05-14,Completed
"Hospitality and Research Forum",2024-06-13,Completed
"Industry-Academe Environmental Awareness Learning Session",2023-08-29,Completed
"Applied Career Development Orientation",2023-12-21,Completed
"Arts and Culture and Public Speaking Symposium",2024-03-20,Completed
"College Teacher Training Conference",2024-04-22,Completed
"Data Analytics and Science Education Forum",2026-01-16,Completed
"Young Leaders Entrepreneurship Camp",2023-11-03,Completed
"Annual Career Development Summit",2024-01-27,Completed
"Career Development and Financial Literacy Colloquium",2023-04-10,Completed
"Language and Literature and Campus Journalism Dialogue",2026-08-18,Upcoming
"Sustainability and Teaching Excellence Mentoring Day",2025-09-14,Completed
"Public Speaking and Mental Health Workshop",2025-10-03,Completed
"Inclusive Education Colloquium",2024-09-09,Completed
"Financial Literacy and Community Outreach Seminar",2023-02-24,Completed
"Annual Cybersecurity Workshop",2026-01-29,Completed
"Volunteerism and Sustainability Orientation",2026-10-03,Upcoming
"Health Awareness Showcase",2023-11-27,Completed
"Volunteerism and Entrepreneurship Learning Session",2024-05-20,Completed
"Debate Mentoring Day",2025-02-08,Completed
"Community Outreach and Public Speaking Congress",2023-03-15,Completed
"Public Speaking and Engineering Design Assembly",2025-11-11,Completed
"Language and Literature Training",2025-04-18,Completed
"Digital Literacy Congress",2024-05-21,Completed
"Faculty Alumni Engagement Showcase",2024-01-01,Completed
"Digital Literacy and Environmental Awareness Seminar",2023-06-28,Completed
"Language and Literature and Mental Health Dialogue",2026-11-07,Upcoming
"Young Leaders Science Education Conference",2023-03-29,Completed
"Debate and Disaster Preparedness Expo",2025-08-19,Completed
"Business Management and Data Analytics Camp",2026-01-20,Completed
"Innovation and Campus Journalism Series",2026-10-20,Upcoming
"Inclusive Health Awareness Congress",2026-03-30,Completed
"Debate Training",2025-01-13,Completed
"Campus Career Development Bootcamp",2023-09-19,Completed
"Inclusive Career Development Seminar",2026-10-22,Upcoming
"Interdepartmental Digital Literacy Colloquium",2026-02-15,Completed
"Community Mental Health Showcase",2023-08-12,Completed
"Innovation Expo",2024-02-13,Completed
"Financial Literacy and Robotics Colloquium",2026-02-16,Completed
"Language and Literature Orientation",2024-09-25,Completed
"Community Hospitality Camp",2025-12-11,Completed
"Leadership Dialogue",2023-10-11,Completed
"Athletics and Public Speaking Fair",2024-04-18,Completed
"Future-Ready Teacher Training Seminar",2025-04-08,Completed
"Robotics and Alumni Engagement Camp",2025-10-09,Completed
"Public Speaking Summit",2026-10-30,Upcoming
"Student Government and Community Outreach Training",2024-03-01,Completed
"Data Analytics Learning Session",2023-07-17,Completed
"Business Management and Public Speaking Dialogue",2025-10-12,Completed
"Language and Literature Workshop",2024-04-14,Completed
"Science Education and Research Symposium",2026-01-06,Completed
"Community Digital Literacy Summit",2023-07-02,Completed
"Community Hospitality Orientation",2025-02-28,Completed
"Engineering Design Showcase",2026-01-16,Completed
"Innovation and Academic Excellence Symposium",2025-06-05,Completed
"Service Learning Camp",2025-10-31,Completed
"Future-Ready Debate Mentoring Day",2023-09-25,Completed
"Community Outreach Workshop",2025-08-09,Completed
"Innovation and STEM Camp",2026-12-16,Upcoming
"Campus Teacher Training Workshop",2025-11-25,Completed
"Business Management and Inclusive Education Symposium",2025-05-25,Completed
"Entrepreneurship and Debate Summit",2023-07-21,Completed
"Data Analytics and Health Awareness Dialogue",2025-06-18,Completed
"Financial Literacy and Debate Series",2025-11-18,Completed
"Industry-Academe Environmental Awareness Learning Session",2024-10-08,Completed
"Annual Debate Camp",2026-10-22,Upcoming
"Alumni Engagement Mentoring Day",2023-12-04,Completed
"Annual Hospitality Expo",2024-04-14,Completed
"Regional Athletics Showcase",2026-11-21,Upcoming
"Inclusive Psychology Showcase",2025-04-07,Completed
"Environmental Awareness Camp",2024-11-19,Completed
"Interdepartmental Research Mentoring Day",2024-07-27,Completed
"Debate Orientation",2024-11-03,Completed
"Innovation and Public Speaking Expo",2025-02-17,Completed
"University-Wide Wellness Bootcamp",2023-11-30,Completed
"Sustainability and Robotics Orientation",2023-11-03,Completed
"Entrepreneurship and STEM Congress",2023-08-18,Completed
"Hospitality and Language and Literature Showcase",2025-09-02,Completed
"Entrepreneurship Colloquium",2024-09-21,Completed
"Disaster Preparedness Camp",2023-08-21,Completed
"Arts and Culture and Business Management Showcase",2025-07-31,Completed
"Entrepreneurship and Data Analytics Symposium",2024-06-10,Completed
"Arts and Culture and Career Development Summit",2026-04-12,Completed
"Entrepreneurship Expo",2023-11-19,Completed
"Nursing Care Mentoring Day",2026-08-26,Upcoming
"Mental Health Colloquium",2026-08-02,Upcoming
"Business Management and Engineering Design Dialogue",2024-10-07,Completed
"Cybersecurity and Arts and Culture Workshop",2023-04-15,Completed
"Arts and Culture Workshop",2024-06-27,Completed
"Health Awareness and Debate Forum",2025-06-07,Completed
"Arts and Culture and Disaster Preparedness Dialogue",2024-06-08,Completed
"Hospitality and Athletics Fair",2025-01-25,Completed
"Engineering Design and Public Speaking Summit",2025-01-09,Completed
"Robotics and Engineering Design Series",2024-11-23,Completed
"Campus Journalism Bootcamp",2025-02-07,Completed
"Mental Health Summit",2026-11-18,Upcoming
"Industry-Academe Debate Series",2023-08-23,Completed
"Financial Literacy and Sustainability Forum",2026-01-07,Completed
"Student Government and Robotics Assembly",2023-02-10,Completed
"Cybersecurity and Business Management Training",2023-05-16,Completed
"Applied Psychology Seminar",2023-09-01,Completed
"Leadership Dialogue",2025-11-01,Completed
"Media Production and Community Outreach Symposium",2023-09-24,Completed
"Public Speaking Orientation",2026-09-21,Upcoming
"Future-Ready Research Workshop",2025-08-27,Completed
"Alumni Engagement Symposium",2023-06-26,Completed
"Young Leaders Robotics Conference",2025-01-10,Completed
"Student Teacher Training Colloquium",2024-07-02,Completed
"Innovation and Community Outreach Showcase",2024-01-19,Completed
"Inclusive Financial Literacy Camp",2025-12-26,Completed
"College Robotics Dialogue",2025-07-22,Completed
"Alumni Engagement Training",2024-04-20,Completed
"Sustainability and Engineering Design Seminar",2023-03-30,Completed
"Mental Health and Nursing Care Summit",2026-12-06,Upcoming
"Academic Excellence Training",2026-04-11,Completed
"Entrepreneurship and Tourism Seminar",2025-03-05,Completed
"Cybersecurity Fair",2026-06-21,Upcoming
"Future-Ready Psychology Conference",2024-05-25,Completed
"Industry-Academe Athletics Camp",2024-02-15,Completed
"University-Wide Robotics Bootcamp",2026-03-04,Completed
"Language and Literature Series",2025-11-30,Completed
"Volunteerism and Research Training",2025-10-20,Completed
"Industry-Academe Business Management Bootcamp",2024-12-05,Completed
"Business Management and Disaster Preparedness Orientation",2024-06-12,Completed
"Entrepreneurship and STEM Bootcamp",2025-07-15,Completed
"Sustainability and Data Analytics Mentoring Day",2024-03-17,Completed
"Disaster Preparedness Training",2025-12-15,Completed
"Innovation and Service Learning Training",2025-10-09,Completed
"Interdepartmental Academic Excellence Mentoring Day",2024-01-28,Completed
"Tourism and Sustainability Workshop",2023-08-19,Completed
"Inclusive Volunteerism Dialogue",2025-01-08,Completed
"Wellness Symposium",2026-04-21,Ongoing
"STEM Learning Session",2026-01-24,Completed
"Community Outreach Fair",2025-08-06,Completed
"Business Management and Engineering Design Colloquium",2026-01-20,Completed
"Public Speaking and Cybersecurity Congress",2024-11-28,Completed
"Hospitality Bootcamp",2025-03-13,Completed
"Financial Literacy and Inclusive Education Congress",2025-04-30,Completed
"Inclusive Tourism Workshop",2026-03-22,Completed
"Teacher Training Forum",2025-04-03,Completed
"Digital Literacy Summit",2023-05-22,Completed
"Community Nursing Care Bootcamp",2026-09-03,Upcoming
"Business Management Series",2024-02-18,Completed
"Industry-Academe Hospitality Dialogue",2024-08-06,Completed
"Health Awareness Forum",2025-03-06,Completed
"Student Public Speaking Mentoring Day",2024-02-01,Completed
"Interdepartmental Robotics Fair",2026-07-23,Upcoming
"Public Speaking and Campus Journalism Camp",2024-08-20,Completed
"Financial Literacy and Leadership Fair",2026-01-01,Completed
"Health Awareness and Robotics Series",2023-10-10,Completed
"Industry-Academe Athletics Summit",2023-11-15,Completed
"Creative Digital Literacy Expo",2025-12-01,Completed
"Public Speaking Fair",2026-12-14,Upcoming
"Volunteerism Forum",2026-03-19,Completed
"Service Learning Workshop",2026-04-30,Upcoming
"Faculty Inclusive Education Showcase",2024-06-26,Completed
"Business Management Symposium",2026-06-14,Upcoming
"Volunteerism and Wellness Series",2023-07-07,Completed
"Debate Symposium",2026-04-25,Upcoming
"College Leadership Expo",2026-09-28,Upcoming
"Debate Forum",2024-08-06,Completed
"Health Awareness and Community Outreach Showcase",2024-06-16,Completed
"Community Science Education Dialogue",2025-05-17,Completed
"College Service Learning Expo",2024-04-09,Completed
"Psychology Fair",2026-09-06,Upcoming
"Disaster Preparedness Summit",2024-11-03,Completed
"Inclusive Education Learning Session",2025-05-09,Completed
"Interdepartmental Research Bootcamp",2024-07-16,Completed
"Sustainability Colloquium",2025-11-17,Completed
"Teacher Training Congress",2025-03-31,Completed
"Inclusive Education and Financial Literacy Assembly",2026-05-25,Upcoming
"Arts and Culture Conference",2026-11-19,Upcoming
"Engineering Design and Robotics Conference",2023-09-28,Completed
"Hospitality and Cybersecurity Expo",2023-06-17,Completed
"Engineering Design Learning Session",2026-03-19,Completed
"Nursing Care Camp",2023-09-24,Completed
"Future-Ready Debate Workshop",2025-04-29,Completed
"Faculty Debate Forum",2025-09-30,Completed
"Nursing Care Camp",2026-02-07,Completed
"University-Wide Health Awareness Learning Session",2024-03-23,Completed
"Creative Disaster Preparedness Assembly",2023-01-05,Completed
"Sustainability and Leadership Seminar",2024-03-11,Completed
"Research and Sustainability Workshop",2025-06-25,Completed
"Health Awareness and Hospitality Seminar",2024-06-06,Completed
"Disaster Preparedness and Nursing Care Training",2023-06-06,Completed
"College Media Production Camp",2026-12-04,Upcoming
"Creative Research Assembly",2025-01-23,Completed
"Creative Service Learning Symposium",2023-01-24,Completed
"Career Development Showcase",2026-07-01,Upcoming
"Student Student Government Conference",2025-01-07,Completed
"Environmental Awareness and Leadership Showcase",2025-10-02,Completed
"Teacher Training and STEM Camp",2026-01-11,Completed
"College Community Outreach Series",2023-12-03,Completed
"Creative Hospitality Camp",2026-09-27,Upcoming
"Interdepartmental Service Learning Symposium",2024-02-12,Completed
"Cybersecurity Orientation",2024-11-03,Completed
"Teaching Excellence Colloquium",2023-04-21,Completed
"Wellness and Athletics Colloquium",2026-07-06,Upcoming
"Wellness Dialogue",2024-05-20,Completed
"STEM and Robotics Bootcamp",2023-07-07,Completed
"Media Production Assembly",2026-09-10,Upcoming
"Faculty Inclusive Education Orientation",2023-03-06,Completed
"Leadership and Campus Journalism Congress",2025-05-29,Completed
"Alumni Engagement and Innovation Forum",2026-10-11,Upcoming
"Sustainability and Public Speaking Expo",2025-04-19,Completed
"Future-Ready Leadership Conference",2024-08-11,Completed
"Industry-Academe Science Education Camp",2023-01-16,Completed
"Campus Journalism Learning Session",2023-10-14,Completed
"STEM Seminar",2025-03-06,Completed
"Service Learning Symposium",2024-05-12,Completed
"College STEM Camp",2025-06-27,Completed
"Inclusive Innovation Learning Session",2025-07-01,Completed
"Data Analytics Bootcamp",2024-12-02,Completed
"Annual Robotics Orientation",2023-06-02,Completed
"Student Government and Public Speaking Symposium",2026-12-15,Upcoming
"Language and Literature and Sustainability Assembly",2025-09-08,Completed
"Inclusive Community Outreach Camp",2026-03-20,Completed
"Arts and Culture Showcase",2023-12-18,Completed
"College Mental Health Colloquium",2024-08-10,Completed
"Science Education Training",2026-04-20,Completed
"Tourism Training",2026-05-08,Upcoming
"Academic Excellence and Community Outreach Summit",2024-04-05,Completed
"Arts and Culture and Career Development Mentoring Day",2026-03-19,Completed
"Business Management Congress",2026-11-19,Upcoming
"Campus Journalism Showcase",2024-01-26,Completed
"Engineering Design and Debate Seminar",2026-11-11,Upcoming
"College Campus Journalism Dialogue",2025-01-28,Completed
"Business Management Training",2024-01-25,Completed
"University-Wide Business Management Series",2023-03-24,Completed
"Interdepartmental Service Learning Showcase",2024-06-20,Completed
"Nursing Care Conference",2025-01-25,Completed
"Inclusive Robotics Bootcamp",2023-05-20,Completed
"Leadership and Language and Literature Bootcamp",2023-09-11,Completed
"Volunteerism and Entrepreneurship Workshop",2025-05-23,Completed
"Inclusive Robotics Congress",2025-07-03,Completed
"Campus Journalism Series",2023-04-30,Completed
"Business Management Assembly",2025-07-30,Completed
"Community Entrepreneurship Conference",2026-11-27,Upcoming
"STEM and Academic Excellence Colloquium",2026-07-29,Upcoming
"Tourism and Health Awareness Training",2024-12-21,Completed
"STEM Training",2024-04-07,Completed
"Inclusive Education and Language and Literature Fair",2026-04-21,Ongoing
"Industry-Academe Leadership Training",2025-10-11,Completed
"Career Development Bootcamp",2024-08-06,Completed
"Wellness and Teacher Training Dialogue",2024-12-19,Completed
"Teacher Training and STEM Seminar",2024-01-28,Completed
"Career Development and Science Education Learning Session",2024-11-12,Completed
"Research and Debate Summit",2025-09-26,Completed
"Applied Debate Seminar",2024-09-18,Completed
"Alumni Engagement Camp",2025-03-18,Completed
"STEM and Debate Forum",2026-11-14,Upcoming
"Teaching Excellence Forum",2025-11-14,Completed
"STEM Series",2024-07-21,Completed
"Cybersecurity Fair",2026-04-12,Completed
"College Research Expo",2026-11-13,Upcoming
"Nursing Care and Robotics Mentoring Day",2023-08-26,Completed
"Campus Arts and Culture Learning Session",2023-09-18,Completed
"Future-Ready Innovation Conference",2023-11-12,Completed
"Student Psychology Orientation",2025-04-08,Completed
"Hospitality Summit",2025-07-18,Completed
"Public Speaking Orientation",2023-09-20,Completed
"Annual Robotics Fair",2025-08-26,Completed
"Digital Literacy Series",2025-10-18,Completed
"Inclusive Arts and Culture Workshop",2024-11-21,Completed
"Interdepartmental Nursing Care Expo",2023-06-19,Completed
"Applied Mental Health Fair",2026-08-20,Upcoming
"Media Production Colloquium",2025-09-15,Completed
"Health Awareness and Hospitality Summit",2026-05-17,Upcoming
"University-Wide Volunteerism Bootcamp",2025-05-03,Completed
"Psychology and Robotics Forum",2023-03-07,Completed
"Faculty Mental Health Symposium",2026-07-27,Upcoming
"Robotics and Sustainability Assembly",2026-02-08,Completed
"Public Speaking Training",2023-01-31,Completed
"Interdepartmental Athletics Fair",2023-01-16,Completed
"Leadership Expo",2026-05-21,Upcoming
"Teaching Excellence Fair",2024-01-14,Completed
"Community Language and Literature Workshop",2023-09-20,Completed
"Sustainability Assembly",2025-01-13,Completed
"Cybersecurity Expo",2026-08-13,Upcoming
"Alumni Engagement and Robotics Colloquium",2024-04-30,Completed
"Tourism Assembly",2024-06-16,Completed
"Student Government and Academic Excellence Orientation",2023-01-16,Completed
"Cybersecurity Showcase",2025-08-31,Completed
"Debate and STEM Forum",2025-07-15,Completed
"Volunteerism Forum",2024-12-28,Completed
"Digital Literacy and Mental Health Bootcamp",2024-06-17,Completed
"Inclusive Tourism Assembly",2025-11-30,Completed
"Debate Dialogue",2026-08-01,Upcoming
"Robotics and Community Outreach Conference",2023-06-04,Completed
"Cybersecurity Fair",2024-04-18,Completed
"Arts and Culture Expo",2023-12-12,Completed
"Volunteerism Assembly",2024-09-15,Completed
"Wellness and Arts and Culture Fair",2025-02-25,Completed
"Student Government and Academic Excellence Colloquium",2023-01-01,Completed
"Future-Ready Entrepreneurship Seminar",2025-11-28,Completed
"Teacher Training Series",2023-08-13,Completed
"Research Expo",2024-01-02,Completed
"Future-Ready Academic Excellence Assembly",2024-01-30,Completed
"Volunteerism and Business Management Symposium",2026-04-01,Completed
"Engineering Design Workshop",2026-02-15,Completed
"Financial Literacy and Service Learning Workshop",2025-01-12,Completed
"Alumni Engagement Training",2026-04-10,Completed
"Leadership Bootcamp",2025-05-12,Completed
"Disaster Preparedness Conference",2025-10-04,Completed
"University-Wide Data Analytics Summit",2026-07-04,Upcoming
"Media Production Series",2023-09-10,Completed
"Inclusive Engineering Design Forum",2026-11-12,Upcoming
"Future-Ready Academic Excellence Fair",2025-11-04,Completed
"Environmental Awareness Mentoring Day",2024-11-19,Completed
"Industry-Academe Volunteerism Conference",2024-09-23,Completed
"Business Management and STEM Symposium",2025-08-02,Completed
"Applied Campus Journalism Showcase",2024-01-18,Completed
"Data Analytics and Academic Excellence Camp",2026-01-03,Completed
"Nursing Care and Environmental Awareness Forum",2024-07-20,Completed
"Teacher Training and Cybersecurity Colloquium",2026-08-31,Upcoming
"Faculty Leadership Seminar",2024-12-06,Completed
"Language and Literature Seminar",2024-12-27,Completed
"Business Management Showcase",2025-10-23,Completed
"Cybersecurity and Nursing Care Colloquium",2026-06-09,Upcoming
"Annual STEM Forum",2024-04-21,Completed
"Applied Volunteerism Seminar",2023-07-04,Completed
"Debate and Cybersecurity Forum",2026-11-15,Upcoming
"Debate Expo",2026-05-04,Upcoming
"Inclusive Education and Psychology Seminar",2023-04-15,Completed
"Student STEM Seminar",2026-02-07,Completed
"Future-Ready Nursing Care Conference",2024-11-12,Completed
"Sustainability and Leadership Dialogue",2024-10-19,Completed
"Campus Career Development Assembly",2025-12-28,Completed
"Alumni Engagement and Cybersecurity Fair",2025-04-18,Completed
"Student Wellness Series",2025-10-06,Completed
"Teaching Excellence Seminar",2023-12-01,Completed
"Regional Psychology Summit",2025-02-02,Completed
